,unique_key,date,primary_type,description,location_description,arrest,domestic,district,ward,community_area,year,latitude,longitude,Cluster
0,11599181,2019-02-18 09:09:00 UTC,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,1,False,2,3.0,34,2019,41.827141747,-87.62971757700001,2
1,10841709,2017-02-07 11:05:00 UTC,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,GOVERNMENT BUILDING/PROPERTY,0,False,2,3.0,37,2017,41.801852528000005,-87.63004566299999,2
2,10789910,2016-12-21 10:15:00 UTC,NARCOTICS,POSS: SYNTHETIC DRUGS,POLICE FACILITY/VEH PARKING LOT,1,False,2,3.0,37,2016,41.80171934,-87.63070362100001,2
3,11929096,2019-12-22 06:35:00 UTC,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,1,False,2,3.0,37,2019,41.80171934,-87.63070362100001,2
4,12107993,2020-07-16 12:21:00 UTC,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SCHOOL - PUBLIC BUILDING,0,False,17,39.0,13,2020,41.973167821,-87.71349526799999,0
5,12287169,2021-01-25 12:00:00 UTC,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0,False,16,41.0,10,2021,41.975438255,-87.832306588,0
6,10877219,2017-03-14 02:07:00 UTC,NARCOTICS,POSS: COCAINE,STREET,1,False,9,12.0,59,2017,41.826187748,-87.684909887,2
7,10939387,2017-05-05 09:00:00 UTC,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,0,False,8,13.0,64,2017,41.78528909,-87.76734577399999,4
8,11295777,2018-04-23 07:00:00 UTC,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,STREET,0,False,2,3.0,34,2018,41.830830693,-87.62982395,2
9,11415174,2018-06-15 10:00:00 UTC,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,APARTMENT,0,False,1,25.0,34,2018,41.856291443,-87.630191028,2
10,11361906,2018-06-27 07:13:00 UTC,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,PARKING LOT/GARAGE(NON.RESID.),1,False,2,3.0,37,2018,41.794583892,-87.629307346,2
11,11486807,2018-10-24 07:00:00 UTC,BURGLARY,HOME INVASION,RESIDENCE,0,False,8,13.0,64,2018,41.772069223,-87.738442514,4
12,10554332,2016-06-09 09:40:00 UTC,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,PARK PROPERTY,1,False,17,39.0,13,2016,41.973897266,-87.71187746,0
13,11084975,2017-08-10 09:09:00 UTC,PROSTITUTION,SOLICIT FOR BUSINESS,HOTEL/MOTEL,1,False,16,41.0,10,2017,41.985421498,-87.829756604,0
14,11094381,2017-09-20 03:00:00 UTC,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,0,False,16,41.0,10,2017,41.973489159,-87.828386979,0
15,11272539,2018-04-01 01:07:00 UTC,NARCOTICS,POSS: COCAINE,STREET,1,False,9,12.0,59,2018,41.832064305,-87.68656049399999,2
16,12087915,2020-06-25 10:15:00 UTC,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,HOTEL / MOTEL,0,False,16,41.0,10,2020,41.981579153,-87.83658001399999,0
17,11371492,2018-07-06 03:00:00 UTC,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,JAIL / LOCK-UP FACILITY,1,False,2,3.0,37,2018,41.80171934,-87.63070362100001,2
